,pc1,BoringDetails,JobSecurity,RightWrongWay,DifficultCommunication,Type
30968,-0.2176887854254132,2,3,2,2,Desktop applications developer
31022,-0.36573428602302815,2,4,2,2,Desktop applications developer
31063,0.7488908728207221,2,4,3,3,Desktop applications developer
31071,0.6519025769438392,2,4,2,1,Desktop applications developer
31106,-0.462722581899911,3,4,2,2,Desktop applications developer
31263,0.2337150018314483,2,5,2,2,Desktop applications developer
31290,0.6519025769438392,2,4,5,2,Desktop applications developer
31299,-0.7660808685591572,3,5,4,2,Desktop applications developer
31362,0.3485442902845928,2,4,2,3,Desktop applications developer
31370,-1.3323139442691638,2,1,2,2,Desktop applications developer
31702,-0.7660808685591572,1,4,4,1,Desktop applications developer
31745,0.10351049381009496,2,5,1,2,Desktop applications developer
31751,-0.33251807387855764,3,4,2,2,Desktop applications developer
31827,-0.462722581899911,2,5,4,2,Desktop applications developer
31973,-0.2176887854254132,2,3,2,1,Desktop applications developer
31989,-1.3323139442691638,3,3,3,3,Desktop applications developer
32014,0.2004987896869778,2,3,4,2,Desktop applications developer
32055,-1.3323139442691638,2,5,2,2,Desktop applications developer
32197,0.7821070849651927,1,1,2,2,Desktop applications developer
32216,1.9396815144254826,4,4,4,3,Desktop applications developer
32244,0.3663852828608544,4,2,3,1,Desktop applications developer
32386,0.6519025769438392,3,4,1,3,Desktop applications developer
32497,-1.3323139442691638,2,2,2,2,Desktop applications developer
32872,1.2002946600775835,4,5,5,3,Desktop applications developer
32966,-0.31467708130229605,3,3,3,2,Desktop applications developer
33053,-0.7839218611354192,1,3,3,2,Desktop applications developer
33070,1.2002946600775835,2,4,5,2,Desktop applications developer
33288,0.7999480775414544,3,3,2,3,Desktop applications developer
34081,1.8967322438089427,4,4,3,2,Desktop applications developer
34092,0.2004987896869778,2,4,5,2,Desktop applications developer
34255,0.6519025769438392,4,4,5,2,Desktop applications developer
34317,-1.3323139442691638,2,4,2,1,Desktop applications developer
34348,-0.33251807387855764,2,4,4,4,Desktop applications developer
34423,-0.31467708130229605,3,3,2,3,Desktop applications developer
34502,1.1033063642007006,4,3,4,2,Desktop applications developer
34687,0.2337150018314483,2,3,4,3,Desktop applications developer
34999,-0.2176887854254132,3,5,4,3,Desktop applications developer
35020,2.6361190981568416,3,3,3,3,Desktop applications developer
35165,-1.3323139442691638,2,4,5,2,Desktop applications developer
35360,-0.2176887854254132,3,5,3,2,Desktop applications developer
35630,-0.2176887854254132,2,3,3,2,Desktop applications developer
35714,0.08566950123383324,2,5,4,2,Desktop applications developer
35789,-0.7660808685591572,2,5,4,4,Desktop applications developer
35790,-0.19984779284915144,3,4,3,3,Desktop applications developer
35844,1.539334931889353,2,5,2,3,Desktop applications developer
36104,-0.7839218611354192,2,5,4,2,Desktop applications developer
36126,-0.2176887854254132,1,5,4,2,Desktop applications developer
36340,0.7667318653969837,2,3,2,2,Desktop applications developer
36416,0.10351049381009496,2,4,4,3,Desktop applications developer
36660,1.7997439479320598,2,3,3,2,Desktop applications developer
37051,3.7329032644243307,1,3,3,3,Desktop applications developer
37084,-0.31467708130229605,1,4,4,2,Desktop applications developer
37157,-1.3323139442691638,2,4,4,4,Desktop applications developer
37209,1.3483401606751986,2,4,2,1,Desktop applications developer
37266,-0.2176887854254132,2,4,3,2,Desktop applications developer
37291,0.2337150018314483,2,5,2,1,Desktop applications developer
37338,0.08566950123383324,3,3,4,2,Desktop applications developer
37352,1.2002946600775835,3,5,3,3,Desktop applications developer
37488,0.330703297708331,4,4,3,3,Desktop applications developer
37549,1.4882777271686212,1,2,2,2,Desktop applications developer
37627,-0.31467708130229605,2,4,4,2,Desktop applications developer
37769,-0.462722581899911,4,2,3,2,Desktop applications developer
37775,0.7667318653969837,3,3,4,3,Desktop applications developer
37816,1.218135652653845,3,3,3,5,Desktop applications developer
38058,1.7665277357875893,3,3,2,1,Desktop applications developer
38130,-0.31467708130229605,3,5,4,2,Desktop applications developer
38169,0.6519025769438392,4,5,2,4,Desktop applications developer
38218,-0.7660808685591572,4,4,4,3,Desktop applications developer
38237,-0.2176887854254132,4,4,5,2,Desktop applications developer
38262,0.7667318653969837,2,2,1,2,Desktop applications developer
38303,0.2004987896869778,1,4,3,2,Desktop applications developer
38432,0.2004987896869778,2,3,4,1,Desktop applications developer
38441,0.6519025769438392,4,3,4,4,Desktop applications developer
38490,0.6519025769438392,4,3,4,3,Desktop applications developer
38532,0.6519025769438392,3,3,3,3,Desktop applications developer
38571,-1.3323139442691638,3,4,3,2,Desktop applications developer
38705,-0.36573428602302815,4,2,2,1,Desktop applications developer
38770,0.6519025769438392,2,5,3,2,Desktop applications developer
38828,-1.3323139442691638,2,1,4,1,Desktop applications developer
38834,0.25155599440771,2,4,5,1,Desktop applications developer
38902,-0.31467708130229605,4,2,4,2,Desktop applications developer
38929,1.4453284565520812,3,5,3,2,Desktop applications developer
39039,0.6519025769438392,1,4,4,2,Desktop applications developer
