,Spark,Xamarin,Hadoop,Node.js,.NET Core,AngularJS,Cordova,Firebase,React
1176,0,0,0,0,1,0,0,0,0
1178,0,0,0,0,1,0,0,0,0
1184,0,0,0,1,0,1,1,0,0
1186,0,0,0,1,0,0,0,0,1
1188,0,0,0,0,0,0,0,0,1
1189,0,0,0,0,0,0,0,0,1
1190,0,0,0,1,0,0,0,0,0
1192,0,0,1,1,0,1,1,1,0
1202,0,0,0,1,1,1,0,0,1
1206,0,0,0,0,1,1,1,0,0
1207,0,0,0,1,0,1,0,0,0
1208,0,0,0,1,0,1,0,0,0
1209,0,0,0,0,1,0,0,0,0
1210,0,0,1,1,0,0,0,1,1
1214,0,0,1,0,1,0,0,0,1
1215,0,0,0,1,0,0,0,0,1
1217,0,0,1,0,0,0,0,0,0
1220,0,0,0,1,0,0,0,0,0
1223,0,0,0,1,0,0,0,0,1
1224,0,0,0,0,1,0,0,0,0
1226,0,0,0,1,0,0,0,0,1
1227,0,0,1,1,0,0,0,0,0
1228,1,0,1,1,0,1,0,0,0
1230,0,0,0,0,0,1,0,0,0
1233,0,0,0,0,0,1,0,0,1
1235,0,0,0,1,0,0,0,0,0
1240,0,0,0,1,0,1,0,0,1
1242,0,0,0,0,0,1,0,0,1
1247,0,0,0,1,1,1,1,0,1
1248,0,0,0,0,0,1,0,0,0
1249,0,0,1,1,0,0,0,0,1
1254,1,0,0,1,0,1,0,0,1
1255,0,0,0,1,1,1,0,0,0
1263,0,0,0,0,0,0,0,0,1
1264,0,0,0,0,1,1,0,0,0
1265,0,1,0,0,1,0,0,0,0
1267,0,0,0,1,0,0,0,0,1
1269,0,0,0,1,0,0,0,0,0
1270,1,0,0,1,0,0,0,0,1
1271,0,0,0,1,0,1,0,0,1
1273,0,0,0,1,1,1,0,0,1
1277,0,0,0,0,0,1,0,0,0
1279,0,0,0,1,0,0,0,0,0
1281,0,0,0,1,1,0,0,0,1
1286,0,0,1,1,0,0,0,0,0
1288,0,0,0,1,1,0,0,0,1
1293,0,0,0,1,0,1,0,0,1
1295,0,1,1,1,0,0,0,0,1
1298,0,0,0,1,0,1,0,0,0
1299,0,0,0,0,1,1,0,0,1
1301,0,1,0,1,0,1,1,0,1
1309,0,1,0,0,1,0,0,0,1
1310,0,0,0,1,1,0,0,0,1
1315,0,0,0,1,0,0,0,0,0
1316,0,0,0,1,0,0,0,0,1
1318,0,0,0,0,1,0,0,0,0
1321,0,0,0,0,1,0,0,0,0
1322,0,0,0,0,0,0,0,0,1
1323,0,1,1,0,0,0,0,0,0
1324,0,1,0,1,1,1,0,0,1
1326,1,0,0,1,1,0,0,0,1
1327,0,1,0,0,1,1,0,0,1
1329,0,0,0,0,1,1,0,0,0
1334,0,0,0,0,0,0,1,0,0
1335,0,0,0,1,0,0,0,0,0
1336,0,1,0,1,1,1,0,0,0
1337,1,0,0,1,0,0,0,0,0
1341,0,0,1,1,0,0,0,1,0
1344,0,0,0,1,1,1,0,1,1
1347,0,0,0,0,1,0,0,0,1
1350,0,1,0,1,1,1,0,0,0
1352,0,1,0,1,1,0,0,0,0
1355,0,0,0,0,1,1,0,0,0
1357,0,0,1,0,0,1,1,0,0
1358,0,0,0,1,0,0,0,0,1
1360,1,0,1,0,0,0,0,0,1
1361,0,0,1,0,0,0,0,0,1
1362,0,0,0,0,0,0,0,0,1
1364,0,0,0,1,0,0,0,0,1
1366,1,1,1,0,1,1,0,1,1
1370,0,0,0,1,1,0,0,1,1
1371,0,0,0,0,1,0,0,0,0
1374,0,0,0,0,0,1,0,1,0
1375,0,0,0,1,0,0,0,0,1
1376,0,0,0,1,0,1,0,1,0
1378,0,0,0,1,0,0,0,0,1
1381,0,0,0,0,1,1,0,0,0
1383,0,0,0,1,0,1,0,1,1
1387,0,0,0,1,0,0,0,0,1
1391,0,0,0,0,0,0,0,0,1
1397,0,0,0,1,1,1,0,0,1
1399,0,1,1,0,0,0,1,0,0
1400,0,0,0,0,1,1,0,0,0
1409,0,0,0,1,0,0,0,0,1
1411,0,1,0,1,0,1,0,0,0
1413,0,0,0,1,0,0,0,0,1
1415,0,0,0,0,0,1,0,0,1
1416,0,0,0,0,1,1,0,0,1
1419,1,0,0,0,0,1,0,0,0
1420,0,0,0,1,0,0,0,1,0
1421,0,0,0,1,0,1,0,0,1
1422,0,0,0,1,0,1,0,0,1
1423,0,1,0,0,1,0,0,0,0
1424,1,0,1,0,0,1,0,0,1
1425,0,0,0,1,0,0,0,0,1
1427,0,1,0,0,1,1,0,0,0
1430,0,0,0,1,1,0,0,0,1
1433,0,1,0,0,0,0,0,0,1
1437,0,0,1,1,1,1,0,1,1
1439,0,1,0,0,0,0,0,0,0
1440,0,0,0,0,1,0,0,0,0
1441,0,1,0,0,1,0,0,0,0
1442,0,0,0,0,1,0,0,0,0
1443,0,0,0,0,0,1,0,0,1
1446,0,0,0,0,1,1,0,0,0
1448,0,0,0,1,1,1,0,0,0
1449,0,0,0,0,1,0,0,0,0
1450,0,0,0,1,0,0,0,0,1
1452,0,0,0,1,0,0,0,1,0
1455,0,0,0,1,0,0,0,1,0
1458,0,1,0,0,1,1,0,0,0
1459,0,1,0,1,1,1,0,0,0
1460,0,0,0,1,0,1,0,0,1
1461,0,0,0,1,0,0,0,0,0
1464,0,0,0,0,1,1,0,0,0
1466,0,0,0,1,1,0,0,1,0
1470,0,0,0,0,0,0,0,0,1
1472,0,0,0,0,1,1,0,0,1
1474,0,0,0,1,0,1,0,0,0
1476,0,1,0,1,0,1,0,0,1
1480,0,1,1,1,1,0,0,0,0
1482,0,0,0,1,0,1,0,0,1
1488,0,0,0,0,0,0,0,1,0
1493,0,0,0,1,1,1,0,0,0
1494,0,0,0,1,0,1,0,0,1
1496,0,0,0,0,0,0,0,1,0
1497,0,0,0,0,1,0,0,0,0
1500,0,0,0,1,0,1,0,0,0
1503,0,0,0,0,1,0,0,0,0
1504,0,0,0,1,0,1,0,0,0
